REFERENCIA;DESCRIPCION;INVIMA
220872716-T;2.7-Tornillo Cortical Cross de 16mm;Invima:2025DM-0031031
220872718-T;2.7-Tornillo Cortical Cross de 18mm;Invima:2025DM-0031031
220872720-T;2.7-Tornillo Cortical Cross de 20mm;Invima:2025DM-0031031
220872722-T;2.7-Tornillo Cortical Cross de 22mm;Invima:2025DM-0031031
22087308-T;3.0-Tornillo Cortical Cross de 8mm;Invima:2025DM-0031031
22087310-T;3.0-Tornillo Cortical Cross de 10mm;Invima:2025DM-0031031
22087312-T;3.0-Tornillo Cortical Cross de 12mm;Invima:2025DM-0031031
22087314-T;3.0-Tornillo Cortical Cross de 14mm;Invima:2025DM-0031031
187164-RT;1.5-Micro placa Recta 4 orificios S/P M;Invima:2025DM-0031031
187166-RT;1.5-Micro placa Recta 6 orificios S/P M;Invima:2025DM-0031031
187168-RT;1.5-Micro placa Recta 8 orificios S/P M;Invima:2025DM-0031031
1871610-RT;1.5-Micro placa Recta 10 orificios S/P M;Invima:2025DM-0031031
1871612-RT;1.5-Micro placa Recta 12 orificios S/P M;Invima:2025DM-0031031
1871614-RT;1.5-Micro placa Recta 14 orificios S/P AM;Invima:2025DM-0031031
1871616-RT;1.5-Micro placa Recta 16 orificios S/P AM;Invima:2025DM-0031031
1871622-RT;1.5-Micro placa Recta 22 orificios S/P AM;Invima:2025DM-0031031
187162-RP6T;1.5-Micro Placa Recta 2 Orificios Puente corto ;Invima:2025DM-0031031
187162-RP9T;1.5-Micro Placa Recta 2 Orificios Puente Medio ;Invima:2025DM-0031031
187162-RP12T;1.5-Micro Placa Recta 2 Orificios Puente Lrgo ;Invima:2025DM-0031031
187164-RP9T;1.5-Micro Placa Recta 4 Orificios Puente Medio -Mor;Invima:2025DM-0031031
187164-RP12T;1.5-Micro Placa Recta 4 Orificios Puente Largo -PL;Invima:2025DM-0031031
187166-RP6T;1.5-Micro Placa Recta 6 Orificios Puente corto -PL;Invima:2025DM-0031031
187166-RP9T;1.5-Micro Placa Recta 6 Orificios Puente Medio -Mor;Invima:2025DM-0031031
187166-RP12T;1.5-Micro Placa Recta 6 Orificios Puente Largo -PL;Invima:2025DM-0031031
187166-OT;1.5-Micro placa Orbital 6 orificios M;Invima:2025DM-0031031
187168-OT;1.5-Micro placa Orbital 8 orificios M;Invima:2025DM-0031031
1871610-OT;1.5-Micro placa Orbital 10 orificios M;Invima:2025DM-0031031
187165-YP4T;1.5-Micro placa en Y de 5 orificios Puente Corto;Invima:2025DM-0031031
187165-YP8T;1.5-Micro placa en Y de 5 orificios Puente Medio;Invima:2025DM-0031031
187166-YP12T;1.5-Micro placa en Y de 6 orificios Puente largo (Morada);Invima:2025DM-0031031
187167-YP12T;1.5-Micro placa en Y de 7 orificios Puente largo (Morada);Invima:2025DM-0031031
187166-XT;1.5-Micro placa Doble Y de 6 orif. Sin puente ;Invima:2025DM-0031031
187166-XP5T;1.5-Micro placa Doble Y de 6 orif. Puente corto ;Invima:2025DM-0031031
187166-XP7T;1.5-Micro placa Doble Y de 6 orif. Puente Medio;Invima:2025DM-0031031
187166-TT;1.5-Miniplaca en  T de 6 Orifcios  s/p;Invima:2025DM-0031031
187165-TP6T;1.5-Micro placa en T de 5 orificios con Puente corto M;Invima:2025DM-0031031
187165-TP9T;1.5-Micro placa en T de 5 orificios con Puente Medio;Invima:2025DM-0031031
187165-TP12T;1.5-Micro placa en T de 5 orificios con Puente Largo;Invima:2025DM-0031031
187167-TP6T;1.5-Micro placa en T de 7 orificios con Puente corto M;Invima:2025DM-0031031
187164-LIP5T;1.5-Micro placa en  L 90ø  4 orificios puente corto Izquierda ;Invima:2025DM-0031031
187164-LDP5T;1.5-Micro placa en  L 90ø  4 orificios puente corto Derecha;Invima:2025DM-0031031
187164-LIP7T;1.5-Micro placa en  L 90ø  4 orificios puente Medio Izquierda ;Invima:2025DM-0031031
187164-LDP7T;1.5-Micro placa en  L 90ø  4 orificios puente Medio Derecha;Invima:2025DM-0031031
187164-LIP12T;1.5-Micro placa en  L 90ø  4 orificios puente largo Izquierda ;Invima:2025DM-0031031
187164-LDP12T;1.5-Micro placa en  L 90ø  4 orificios puente Largo Derecha;Invima:2025DM-0031031
187164-LIPC110T;1.5-Micro placa en  L 100ø  4 orificios puente corto Izquierda ;Invima:2025DM-0031031
187164-LDPC110T;1.5-Micro placa en  L 100ø  4 orificios puente corto Derecha;Invima:2025DM-0031031
187164-LIPM110T;1.5-Micro placa en  L 100ø  4 orificios puente Medio Izquierda ;Invima:2025DM-0031031
187164-LDPM110T;1.5-Micro placa en  L 100ø  4 orificios puente Medio Derecha;Invima:2025DM-0031031
187164-LIPL110T;1.5-Micro placa en  L 100ø  4 orificios puente largo Izquierda ;Invima:2025DM-0031031
187164-LDPL110T;1.5-Micro placa en  L 100ø  4 orificios puente Largo Derecha;Invima:2025DM-0031031
187165-LIPM100T;1.5-Micro placa en  L 100ø  5 orificios puente Medio Izquierda ;Invima:2025DM-0031031
187165-LDPM100T;1.5-Micro placa en  L 100ø 5 orificios puente Medio Derecha;Invima:2025DM-0031031
187166-LIPC110T;1.5-Micro placa en  L 100ø  6 orificios puente Corto Izquierda ;Invima:2025DM-0031031
187166-LDPC110T;1.5-Micro placa en  L 100ø 6 orificios puente  Corto Derecha;Invima:2025DM-0031031
187161-TRT;1.5-Micro placa Trevol x 4 orificios M;Invima:2025DM-0031031
187164-CUAT;1.5-Micro placa  Cuadrada x 4 orificios M;Invima:2025DM-0031031
187166-CUAT;1.5-Micro placa  Cuadrada x 6 orificios M;Invima:2025DM-0031031
187168-CUAT;1.5-Micro placa Cuadrada x 8 orificios M;Invima:2025DM-0031031
187161-POPT;1.5-Microplaca Piso de orbita peque¤a;Invima:2025DM-0031031
187161-POMT;1.5-Microplaca Piso de orbita Mediana;Invima:2025DM-0031031
187161-POGT;1.5-Microplaca Piso de orbita Grande;Invima:2025DM-0031031
187616-NOE;1.5-Microplaca Piso de orbita NOE;Invima:2025DM-0031031
